iso3c,country,region,income_level_current,electricity_access_2000,electricity_access_2022,internet_use_2000,internet_use_2022,electricity_change,internet_change,combined_gap_closed
AUS,Australia,East Asia & Pacific,High income,100,100,46.7561156116738,96.11940002,0,49.3632844083262,49.3632844083262
BRN,Brunei Darussalam,East Asia & Pacific,High income,100,100,8.99628453448726,98.97042579,0,89.97414125551273,89.97414125551273
KHM,Cambodia,East Asia & Pacific,Lower middle income,16.6,92.3,0.047022640068885,65.49079895,75.69999999999999,65.44377630993111,141.1437763099311
CHN,China,East Asia & Pacific,Upper middle income,96.7,100,1.77591320677415,75.61131603,3.299999999999997,73.83540282322585,77.13540282322585
FJI,Fiji,East Asia & Pacific,Upper middle income,76.8,92,1.4968547339902,72.56549835,15.200000000000003,71.0686436160098,86.2686436160098
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,100,100,27.8277606812581,95.61357052,0,67.7858098387419,67.7858098387419
IDN,Indonesia,East Asia & Pacific,Upper middle income,86.3,100,0.925563864466858,66.48461277,13.700000000000003,65.55904890553315,79.25904890553315
JPN,Japan,East Asia & Pacific,High income,100,100,29.9907403589142,84.92343147,0,54.9326911110858,54.9326911110858
KIR,Kiribati,East Asia & Pacific,Lower middle income,55.6,94.4,1.78522547397736,84.99849701,38.800000000000004,83.21327153602263,122.01327153602264
KOR,"Korea, Rep.",East Asia & Pacific,High income,100,100,44.7,97.16855335,0,52.46855334999999,52.46855334999999
LAO,Lao PDR,East Asia & Pacific,Lower middle income,42.6,100,0.111044032290124,64.54000092,57.4,64.42895688770987,121.82895688770986
MAC,"Macao SAR, China",East Asia & Pacific,High income,100,100,13.6085897418451,89.48549652,0,75.8769067781549,75.8769067781549
MYS,Malaysia,East Asia & Pacific,Upper middle income,98.6,100,21.3847311644538,97.3986404,1.4000000000000057,76.01390923554621,77.41390923554621
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,68.6,100,1.53427179624871,64.26719666,31.400000000000006,62.732924863751286,94.1329248637513
